Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total,1
08.11.2024,"199,00",,,"199,00","0,00",0,0,0,2024-08-11
07.11.2024,"199,00",,,"199,00","0,00",0.0,0,0,
06.11.2024,"199,00",,,"199,00","0,00",0.0,0,0,
05.11.2024,"199,00",,,"199,00","0,00",0.0,0,0,
04.11.2024,"199,00",,,"199,00","0,00",0.0,0,0,
01.11.2024,"199,00",,,"199,00","0,00",0.0,0,0,
31.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
30.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
29.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
28.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
25.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
24.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
22.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
21.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
18.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
17.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
16.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
15.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
14.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
10.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
09.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
08.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
07.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
04.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
03.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
02.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
01.10.2024,"199,00",,,"199,00","0,00",0.0,0,0,
30.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
27.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
26.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
25.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
24.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
23.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
20.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
19.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
18.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
17.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
16.9.2024,"199,00",,,"199,00","0,00",0.0,0,0,
